Battery_Num,Node,Time,State
3,0,576.84,75
3,h2,580,75
3,4,630,75
3,5,660,75
3,h5,690,50
3,6,720,50
3,h6,760.1,20
3,11,770.2,20
5,0,546.84,75
5,2,550,75
5,7,730,75
5,h7,799.32,45
5,9,825.76,45
5,10,850,45
5,h10,890,10
5,11,906.66,10
4,0,575,75
4,h1,580,75
4,3,590,75
4,8,750,75
4,h8,780,50
4,h7,799.32,50
4,9,825.76,50
4,h9,860.76,20
4,h4,873.57,20
4,11,883.57,20
1,0,524.84,75
1,1,529.84,75
1,h1,580,40
1,3,590,40
1,h3,862.21,15
1,h10,890,15
1,11,906.66,15
2,0,546.84,75
2,2,550,75
2,h2,580,50
2,4,630,50
2,h4,873.57,15
2,11,883.57,15
