Battery_Num,Node,Time,State
4,0,0,75
4,1,1000.0,75
4,h1,1030.0,50
4,2,1043.0,50
4,h2,1078.0,20
4,9,1290.0,20
4,11,1480.0,20
1,0,0,75
1,1,1000.0,75
1,6,1182.0,75
1,h6,1225.0,50
1,h9,1325.0,50
1,11,1480.0,50
10,0,0,75
10,7,1215.0,75
10,8,1255.0,75
10,h8,1285.0,50
10,h10,1365.0,50
10,11,1480.0,50
7,0,0,75
7,4,1118.0,75
7,5,1140.0,75
7,h5,1182.0,45
7,h7,1255.0,45
7,11,1480.0,45
5,0,0,75
5,h1,1030.0,75
5,2,1043.0,75
5,3,1070.0,75
5,h3,1105.0,45
5,h4,1158.0,45
5,10,1325.0,45
5,11,1480.0,45
9,0,0,75
9,h2,1078.0,75
9,9,1290.0,75
9,h9,1325.0,45
9,11,1480.0,45
6,0,0,75
6,4,1118.0,75
6,h4,1158.0,40
6,10,1325.0,40
6,h10,1365.0,5
6,11,1480.0,5
8,0,0,75
8,7,1215.0,75
8,h7,1255.0,40
8,11,1480.0,40
