C100

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   CAR NUM   DETAIL ADDRESS    
 
    0      127.02764967301626         37.49799541773126          0          0       480          0        0  
    1      127.035811         37.504656         25        40        100         08의5414      지하주차장   
    2      127.031602         37.499202         35        70        130         10진5762      야외주차장  
    3      127.021782         37.506474         25        110        170         04경5526      지하주차장    
    4      127.025990         37.488295         30        150        210         24서9932      야외주차장  
    5      127.041423         37.502838         25        180        240         02서9102      지하주차장  
    6      127.017573         37.493748         35        220        280         24여7946      야외주차장    
    7      127.042826         37.490112         30        250        310         09보5021      지하주차장   
    8      127.013364         37.506474         25        280        340         16연7138      야외주차장   
    9      127.031602         37.511927         20        320        380         08은4056      지하주차장   
    10      127.033005         37.517381         30        360        420         06빈5366      야외주차장
