C100

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   CAR NUM   DETAIL ADDRESS       
  
    0      127.02764967301626         37.49799541773126          0          480       960          0       0      
    1      127.033005         37.504656           35        520        580         08의5415      야외주차장   
    2      127.025990         37.493748           25        550        610         10진5763      지하주차장  
    3      127.027393         37.510109           25        590        650         04경5527      야외주차장   
    4      127.031602         37.491930           35        630        690         24서9933      지하주차장  
    5      127.040020         37.495566           25        660        720         02서9103      야외주차장  
    6      127.020379         37.501020           30        700        760         24여7947      지하주차장   
    7      127.023185         37.484659           30        730        790         09보5022      야외주차장   
    8      127.018976         37.510109           25        750        830         16연7139      지하주차장   
    9      127.040020         37.482841           30        810        870         08은4057      야외주차장   
    10      127.035811         37.517381           35        850        910         06빈5367      지하주차장  
