C100

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   CAR NUM   DETAIL ADDRESS  
 
    0      127.02764967301626         37.49799541773126          0          960       1480          0       0  
    1      127.030199         37.504656         25        1000        1060         08의5416      지하주차장   
    2      127.023185         37.493748           30        1030        1090         10진5764      지하주차장   
    3      127.028796         37.491930           30        1070        1130         04경5528      야외주차장   
    4      127.020379         37.504656           35        1110        1170         24서9934      지하주차장   
    5      127.034408         37.493748           30        1140        1200         02서9104      야외주차장   
    6      127.035811         37.511927           25        1170        1230         24여7948      야외주차장   
    7      127.023185         37.484659           35        1200        1260         09보5023      지하주차장   
    8      127.018976         37.515563           25        1230        1290         16연7130      야외주차장   
    9      127.040020         37.495566           30        1270        1330         08은4058      야외주차장   
    10      127.018976         37.497384           35        1310        1370         06빈5368      지하주차장  
